varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,392.89,8144.358904,135.74,50052.75,0.53
2,32,2,1,32.0,1024,1,99.94,88.77,4552.258383,75.87,50433.00,0.94
4,32,4,1,32.0,1024,1,99.94,172.95,2207.456367,36.79,49913.62,1.95
8,32,8,1,32.0,1024,1,99.94,534.99,1000.173900,16.67,50428.50,4.29
16,32,16,1,32.0,1024,1,99.94,583.84,569.704358,9.50,50428.50,7.54
32,32,32,1,32.0,1024,1,99.94,582.56,401.542404,6.69,50426.25,10.70
48,32,48,1,32.0,1024,1,99.94,593.48,397.487096,6.62,50425.88,10.81
