k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,128,1,373.15,604.81,25.500645,0.43,1410.84,5.26
28,32,1,2.0,256,1,385.22,626.94,44.455379,0.74,2051.17,6.04
29,32,1,4.0,512,1,386.24,810.82,72.716739,1.21,2339.04,7.38
30,32,1,8.0,1024,1,391.04,910.11,135.188236,2.25,4099.20,7.94
31,32,1,16.0,1024,1,392.40,1035.94,253.656886,4.23,6947.23,8.47
32,32,1,32.0,1024,1,390.98,993.79,507.353659,8.46,13091.57,8.47
