timestamp,binary,k,n_files,total_file_size_bytes,total_file_size_gb,t,r,keep_open,difficulty,n_lookups,found,not_found,all_matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_wall_ms,total_s
2026-05-07T06:20:18Z,./vaultx,32,1,34359738368,32.0,1,1,False,3,10,10,0,2560,0.0649,24.5188,4.6962,0.0954,29.3753,293.7531,0.293753
2026-05-07T06:20:18Z,./vaultx,32,2,68719476736,64.0,1,1,False,3,10,20,0,5120,0.1231,2.535,2.2115,0.2051,5.0746,50.7461,0.050746
2026-05-07T06:20:18Z,./vaultx,32,4,137438953472,128.0,1,1,False,3,10,40,0,10228,0.2515,14.0319,13.8847,0.3947,28.5627,285.6273,0.285627
2026-05-07T06:20:19Z,./vaultx,32,8,274877906944,256.0,1,1,False,3,10,80,0,20468,0.4752,23.2701,23.6862,0.815,48.2466,482.466,0.482466
2026-05-07T06:20:21Z,./vaultx,32,16,549755813888,512.0,1,1,False,3,10,160,0,40942,1.0714,174.1774,25.2163,1.5903,202.0555,2020.5548,2.020555
2026-05-07T06:20:25Z,./vaultx,32,32,1099511627776,1024.0,1,1,False,3,10,320,0,81907,2.1249,300.7672,87.0567,3.2768,393.2256,3932.2557,3.932256
2026-05-07T06:20:33Z,./vaultx,32,64,2199023255552,2048.0,1,1,False,3,10,640,0,163770,4.2647,558.5273,262.7806,6.3288,831.9015,8319.0145,8.319014
2026-05-07T06:20:50Z,./vaultx,32,128,4398046511104,4096.0,1,1,False,3,10,1280,0,327499,8.5267,640.8019,970.0399,13.0877,1632.4561,16324.5612,16.324561
2026-05-07T06:21:22Z,./vaultx,32,256,8796093022208,8192.0,1,1,False,3,10,2560,0,654972,17.0777,1896.236,1311.5786,26.1591,3251.0515,32510.5149,32.510515
2026-05-07T06:22:17Z,./vaultx,32,438,15049565405184,14016.0,1,1,False,3,10,4380,0,1120694,29.2333,3162.5734,2210.4376,44.7877,5447.0319,54470.3195,54.470319
