timestamp,binary,scenario,k,n_files,total_file_size_bytes,total_file_size_gb,t,r,keep_open,difficulty,n_lookups,found,not_found,all_matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_wall_ms,total_s
2026-05-07T06:49:40Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,1,False,3,10,10,0,1120770,6.174,0.0009,31.6682,36.8145,74.6577,746.5767,0.746577
2026-05-07T06:50:34Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,1,False,3,10,4380,0,1120728,53.1713,1063.8034,4237.8136,44.6822,5399.4705,53994.7053,53.994705
2026-05-07T06:50:35Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,2,False,3,10,10,0,1120637,0.2024,0.001,29.8243,42.4992,72.5269,725.2686,0.725269
2026-05-07T06:51:31Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,2,False,3,10,4380,0,1120685,36.6438,3717.2886,1715.0307,125.0499,5594.013,55940.1301,55.94013
2026-05-07T06:51:32Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,4,False,3,10,10,0,1120656,0.2193,0.001,24.6846,38.8309,63.7359,637.3591,0.637359
2026-05-07T06:52:28Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,4,False,3,10,4380,0,1120671,41.9649,2111.2592,3271.5146,193.2474,5617.9861,56179.8607,56.179861
2026-05-07T06:52:29Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,8,False,3,10,10,0,1120695,0.2292,0.0013,32.352,32.6951,65.2776,652.7756,0.652776
2026-05-07T06:53:27Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,8,False,3,10,4380,0,1120607,47.8266,2122.8818,3243.5045,392.8957,5807.1087,58071.0866,58.071087
2026-05-07T06:53:28Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,16,False,3,10,10,0,1120596,0.2509,0.0015,28.404,21.6423,50.2988,502.9879,0.502988
2026-05-07T06:54:31Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,16,False,3,10,4380,0,1120722,53.346,1069.3293,4271.2665,871.0764,6265.0181,62650.1812,62.650181
2026-05-07T06:54:31Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,32,False,3,10,10,0,1120702,0.2588,0.0015,27.5872,19.3482,47.1957,471.9567,0.471957
2026-05-07T06:55:44Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,32,False,3,10,4380,0,1120702,54.827,3203.5943,2216.8117,1751.7936,7227.0267,72270.2668,72.270267
2026-05-07T06:55:44Z,./vaultx,single_large,?,1,15049565420952,14016.000015,1,64,False,3,10,10,0,1120558,1.6849,0.0015,34.7584,26.8887,63.3334,633.334,0.633334
2026-05-07T06:57:09Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,64,False,3,10,4380,0,1120649,35.9337,2628.4152,2661.5962,3155.4162,8481.3614,84813.6143,84.813614
2026-05-07T06:59:29Z,./vaultx,multi_small,32,438,15049565405184,14016.0,1,128,False,3,10,4380,0,1120754,46.0411,2979.4359,4511.977,6355.8835,13893.3375,138933.3754,138.933375
