timestamp,binary,k,n_files,total_file_size_bytes,total_file_size_gb,t,r,keep_open,difficulty,n_lookups,found,not_found,all_matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_wall_ms,total_s
2026-05-07T06:16:15Z,./vaultx,32,1,34359738368,32.0,1,1,False,3,1,1,0,256,0.2246,0.0012,230.3073,0.1043,230.6374,230.6374,0.230637
2026-05-07T06:16:15Z,./vaultx,32,2,68719476736,64.0,1,1,False,3,1,2,0,512,0.2138,0.0023,37.7198,0.238,38.1739,38.1739,0.038174
2026-05-07T06:16:15Z,./vaultx,32,4,137438953472,128.0,1,1,False,3,1,4,0,1024,0.3817,0.0043,50.6411,0.4161,51.4432,51.4432,0.051443
2026-05-07T06:16:15Z,./vaultx,32,8,274877906944,256.0,1,1,False,3,1,8,0,2048,0.6354,0.0085,71.9227,0.9113,73.4779,73.4779,0.073478
2026-05-07T06:16:15Z,./vaultx,32,16,549755813888,512.0,1,1,False,3,1,16,0,4096,1.2251,0.0164,115.3776,1.6109,118.2301,118.2301,0.11823
2026-05-07T06:16:15Z,./vaultx,32,32,1099511627776,1024.0,1,1,False,3,1,32,0,8192,2.2851,0.0324,228.4741,3.3114,234.103,234.103,0.234103
2026-05-07T06:16:16Z,./vaultx,32,64,2199023255552,2048.0,1,1,False,3,1,64,0,16357,4.5999,0.0649,441.5883,6.5852,452.8383,452.8383,0.452838
2026-05-07T06:16:18Z,./vaultx,32,128,4398046511104,4096.0,1,1,False,3,1,128,0,32746,10.1987,1583.8608,49.957,13.1661,1657.1827,1657.1827,1.657183
2026-05-07T06:16:21Z,./vaultx,32,256,8796093022208,8192.0,1,1,False,3,1,256,0,65510,20.7575,3176.6636,113.0524,26.2932,3336.7668,3336.7668,3.336767
2026-05-07T06:16:27Z,./vaultx,32,438,15049565405184,14016.0,1,1,False,3,1,438,0,112082,34.4222,0.4366,5381.0465,44.6332,5460.5385,5460.5385,5.460538
