k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,48,1,1.0,256,1,198.80,264.48,30.409164,0.51,2042.42,4.41
28,48,1,2.0,512,1,199.40,284.61,53.274190,0.89,2488.79,5.04
29,48,1,4.0,1024,1,199.16,292.45,98.183150,1.64,4089.67,5.47
30,48,1,8.0,1024,1,199.45,350.93,170.935025,2.85,7097.28,6.28
31,48,1,16.0,1024,1,199.42,450.40,300.625359,5.01,13243.38,7.14
32,48,1,32.0,1024,1,198.90,417.98,646.991983,10.78,25531.11,6.64
