memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,48,1,32.0,128,1,6896.55,466.64,683.777184,11.40,1401.00,6.28
3,32,48,1,32.0,512,1,2552.33,808.89,458.712838,7.65,2190.39,9.36
5,32,48,1,32.0,1024,1,1412.99,975.42,413.233372,6.89,4091.02,10.39
8,32,48,1,32.0,1024,1,753.46,1039.66,407.496152,6.79,6859.52,10.54
14,32,48,1,32.0,1024,1,390.99,1034.42,430.291720,7.17,13080.98,9.98
26,32,48,1,32.0,1024,1,198.90,970.79,481.921510,8.03,25530.75,8.91
50,32,48,1,32.0,1024,1,99.94,377.53,441.740109,7.36,50412.00,9.72
59,32,48,1,32.0,1024,1,99.94,790.61,359.546351,5.99,50426.62,11.95
