memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,48,1,32.0,128,1,6896.87,332.09,831.870896,13.86,1404.38,5.16
3,32,48,1,32.0,512,1,2552.32,452.83,596.399993,9.94,2190.25,7.20
5,32,48,1,32.0,1024,1,1412.97,430.38,603.199397,10.05,4090.78,7.12
8,32,48,1,32.0,1024,1,753.47,445.96,586.966334,9.78,6858.70,7.32
14,32,48,1,32.0,1024,1,390.99,466.59,593.524439,9.89,13083.21,7.24
26,32,48,1,32.0,1024,1,198.90,368.07,698.945106,11.65,25531.88,6.14
50,32,48,1,32.0,1024,1,99.94,174.10,533.184259,8.89,50425.50,8.06
59,32,48,1,32.0,1024,1,99.94,168.53,531.075586,8.85,50426.25,8.09
