k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,512,1,99.99,1306.58,12.284918,0.20,2818.96,10.93
28,32,1,2.0,1024,1,100.00,982.57,20.750241,0.35,4355.03,12.94
29,32,1,4.0,1024,1,99.99,1039.94,35.857057,0.60,7427.02,14.97
30,32,1,8.0,1024,1,99.99,1150.37,66.798528,1.11,13571.06,16.07
31,32,1,16.0,1024,1,99.99,1479.35,128.038450,2.13,25859.22,16.77
32,32,1,32.0,1024,1,99.94,1314.91,259.567830,4.33,50435.20,16.55
