varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,32,1,32.0,1024,1,99.94,198.98,398.394605,6.64,50435.34,10.78
2,32,32,2,32.0,1024,1,99.94,190.39,404.587659,6.74,50435.38,10.62
4,32,32,4,32.0,1024,1,99.94,201.92,397.215959,6.62,50435.20,10.81
8,32,32,8,32.0,1024,1,99.94,193.38,403.947032,6.73,50435.43,10.63
